"Name","Cycles"
"ui_add","624"
"ui_addi","347"
"ui_sub","616"
"ui_and","644"
"ui_andi","303"
"ui_or","647"
"ui_ori","310"
"ui_xor","646"
"ui_xori","312"
"ui_sll","652"
"ui_srl","665"
"ui_sra","671"
"ui_slli","346"
"ui_srli","355"
"ui_srai","361"
"ui_slt","618"
"ui_slti","342"
"ui_sltu","618"
"ui_sltiu","342"
"ui_beq","474"
"ui_bne","480"
"ui_blt","474"
"ui_bge","519"
"ui_bltu","499"
"ui_bgeu","544"
"ui_jal","130"
"ui_jalr","229"
"ui_lui","134"
"ui_auipc","133"
"ui_lh","376"
"ui_lhu","385"
"ui_sh","672"
"ui_sb","619"
"ui_lb","360"
"ui_lbu","360"
"ui_sw","679"
"ui_lw","390"
"mi_csr","198"
"mi_scall","124"
"mi_sbreak","145"
"mi_ma_fetch","369"
"um_mul","924"
"um_mulh","912"
"um_mulhu","912"
"um_mulhsu","912"
"um_div","234"
"um_divu","247"
"um_rem","234"
"um_remu","246"
